"id_claim_number","id_case_number","date_created","sku","name","user_description","value","value_selected"
3402,4419,2024-08-21 16:42:11.589,50000513,Calidad,Cantidad reportada problemas de calidad,"13",
3402,4419,2024-08-21 16:42:11.589,50000513,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3402,4419,2024-08-21 16:42:11.589,50000513,Calidad,"Cliente se queda con el producto, problemas de calidad",true,Sí
3403,4420,2024-08-21 18:39:07.879,50000349,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,missing_amount,Faltante
3403,4420,2024-08-21 18:39:07.879,50000349,Cantidad diferente,Cantidad reportada cantidad diferente,"270",
3404,4421,2024-08-21 19:01:25.395,50000081,Producto cruzado,Cantidad reportada producto cruzado,"20",
3404,4421,2024-08-21 19:01:25.395,50000081,Producto cruzado,"Cliente se queda con el producto, producto cruzado",false,No
3404,4421,2024-08-21 19:01:25.395,50000081,Producto cruzado,producto seleccionado flujo cantidad diferente,"70001046 - HIERRO ANGULAR SEG. 1/8"" X 3/4"" MM",
3405,4422,2024-08-21 19:14:40.494,50000725,Calidad,Seleccion de tipo problema de calidad,manipulation_damage,Daño por manipulación
3405,4422,2024-08-21 19:14:40.494,50000725,Calidad,Cantidad reportada problemas de calidad,"3",
3405,4422,2024-08-21 19:14:40.494,50000725,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3406,4423,2024-08-22 06:43:56.725,50000815,Calidad,Seleccion de tipo problema de calidad,technical_especification,Especificación técnica
3406,4423,2024-08-22 06:43:56.725,50000815,Calidad,Cantidad reportada problemas de calidad,"10",
3406,4423,2024-08-22 06:43:56.725,50000815,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3406,4423,2024-08-22 06:43:56.725,50000815,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3407,4424,2024-08-22 07:04:04.444,50000275,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3407,4424,2024-08-22 07:04:04.444,50000275,Calidad,Cantidad reportada problemas de calidad,"171",
3407,4424,2024-08-22 07:04:04.444,50000275,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3411,4427,2024-08-22 12:14:33.113,50000350,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,missing_amount,Faltante
3411,4427,2024-08-22 12:14:33.113,50000350,Cantidad diferente,Cantidad reportada cantidad diferente,"2",
3409,4426,2024-08-22 09:54:01.854,50000495,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3409,4426,2024-08-22 09:54:01.854,50000495,Calidad,Cantidad reportada problemas de calidad,"5",
3409,4426,2024-08-22 09:54:01.854,50000495,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3408,4425,2024-08-22 09:51:12.342,50000244,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3408,4425,2024-08-22 09:51:12.342,50000244,Calidad,Cantidad reportada problemas de calidad,"1",
3408,4425,2024-08-22 09:51:12.342,50000244,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3399,4417,2024-08-21 14:09:15.187,50000272,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
3399,4417,2024-08-21 14:09:15.187,50000272,Calidad,Cantidad reportada problemas de calidad,"14",
3399,4417,2024-08-21 14:09:15.187,50000272,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3398,4416,2024-08-21 13:59:10.217,50000064,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
3398,4416,2024-08-21 13:59:10.217,50000064,Calidad,Cantidad reportada problemas de calidad,"60",
3398,4416,2024-08-21 13:59:10.217,50000064,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3388,4404,2024-08-20 16:20:16.994,50000804,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3346,4357,2024-08-15 16:57:49.316,50000352,Calidad,"Cliente se queda con el producto, problemas de calidad",false,
3251,4249,2024-08-09 11:41:06.810,50000362,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,missing_amount,Faltante
3147,4146,2024-07-31 15:33:34.095,50010921,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,missing_amount,Faltante
3315,4428,2024-08-22 13:07:26.820,50000343,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
3315,4428,2024-08-22 13:07:26.820,50000343,Calidad,Cantidad reportada problemas de calidad,"380",
3315,4428,2024-08-22 13:07:26.820,50000343,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3412,4429,2024-08-22 14:21:30.098,50000060,Calidad,Seleccion de tipo problema de calidad,fold,Doblado
3412,4429,2024-08-22 14:21:30.098,50000060,Calidad,Cantidad reportada problemas de calidad,"1",
3412,4429,2024-08-22 14:21:30.098,50000060,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3412,4429,2024-08-22 14:21:30.098,50000060,Calidad,"Cliente se queda con el producto, problemas de calidad",true,Sí
3416,4431,2024-08-22 15:29:24.104,50000258,Calidad,Seleccion de tipo problema de calidad,manufacture_issue,Problema de fabricación
3416,4431,2024-08-22 15:29:24.104,50000258,Calidad,Cantidad reportada problemas de calidad,"16",
3416,4431,2024-08-22 15:29:24.104,50000258,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
3416,4431,2024-08-22 15:29:24.104,50000258,Calidad,"Cliente se queda con el producto, problemas de calidad",true,Sí
3417,4434,2024-08-22 16:33:41.580,70001044,Calidad,Seleccion de tipo problema de calidad,rust,Óxido
3417,4434,2024-08-22 16:33:41.580,70001044,Calidad,Cantidad reportada problemas de calidad,"3",
3417,4434,2024-08-22 16:33:41.580,70001044,Calidad,"Cliente se queda con el producto, problemas de calidad",false,No
